timestamp,amount_usd,quantity_purchased,session_duration_seconds,days_since_last_purchase,account_age_days,device_screen_resolution,time_since_last_login_s,items_viewed_before_purchase,big_model_fraud_probability,flagged_fraud
1719585417,332.42,7,184.2,17.44,2638,1034799,2251.9,5,0.870034,1
1717190428,1.0,8,541.1,28.18,2886,3692822,1449.7,10,0.082014,0
1709316717,856.19,22,128.6,1.74,172,3682276,3704.0,24,0.999999,1
1708893315,106.49,5,206.6,21.52,1204,1021417,842.2,13,0.773626,0
1704060547,49.59,8,346.2,29.02,686,8297194,690.5,8,0.485548,0
1704627621,274.22,8,607.1,39.01,2448,1052981,7677.0,1,0.338173,0
1719823838,92.51,3,197.1,4.08,1695,2073063,2275.7,11,0.514678,0
1710627667,168.24,19,65.2,0.02,66,1051125,6940.4,15,0.992361,1
1706783483,19.59,8,225.0,6.3,3431,1043270,6653.8,1,0.380157,0
1718935842,27.97,1,345.8,29.98,2661,3686532,610.2,5,0.03701,0
1724855239,35.23,1,147.4,23.04,1088,8287139,596.5,4,0.288167,0
1708471863,39.32,3,368.9,4.5,1675,1046646,5109.5,10,0.26221,0
1723480745,124.62,7,178.4,1.36,3292,1053832,7730.1,14,0.424879,0
1700196829,53.33,6,229.7,6.85,58,1052319,178.7,10,0.596583,0
1702199404,50.71,7,248.4,17.01,2084,1050408,943.7,9,0.461048,0
1715197632,1342.51,16,15.3,1.12,149,8298412,20.1,17,1.0,1
1722744366,50.59,2,318.1,14.91,451,3687769,1782.9,4,0.714903,0
1730497247,1.5,2,267.3,2.33,2911,3688990,3282.9,10,0.118683,0
1712359359,171.99,1,45.3,11.72,2505,8288708,1499.1,12,0.797754,0
1720898652,23.79,7,260.5,19.85,3560,1034265,2207.9,12,0.107043,0
1705630538,69.66,8,263.5,16.78,3646,1032369,12871.7,13,0.188124,0
1710764230,99.15,8,207.0,8.1,665,1021493,1287.0,5,0.800842,0
1720768677,28.22,8,157.7,19.58,824,1048096,1169.2,6,0.683085,0
1725014867,59.68,3,75.3,2.6,2914,2078855,2675.3,6,0.103997,0
1712520072,907.77,13,94.4,0.19,58,2076467,3370.9,13,0.999998,1
1715597652,66.28,8,289.7,28.48,2635,2078020,926.5,9,0.158357,0
1704675472,47.43,4,230.1,33.94,1880,2069050,3126.9,1,0.361806,0
1725145779,9.46,1,343.8,0.4,3455,1043870,653.7,4,0.04434,0
1729143023,104.26,8,298.1,10.76,192,2080033,167.0,11,0.831441,0
1715001987,29.37,8,276.6,27.1,3408,1016953,243.0,14,0.132472,0
1714888834,3.61,4,302.0,6.29,135,8294953,485.0,10,0.296767,0
1713022898,71.6,5,358.4,27.09,2317,1051628,1303.6,6,0.094147,0
1710659711,61.75,7,245.9,6.16,2975,8293750,692.2,5,0.126066,0
1709003851,315.35,8,61.2,0.52,162,8293395,646.6,12,0.996866,1
1706766105,116.95,9,404.5,3.1,739,2073528,202.7,1,0.727835,0
1720435423,10.94,6,301.0,43.69,1237,2070156,788.5,11,0.098221,0
1704279257,275.73,1,252.4,15.81,3527,2084885,1941.8,5,0.586481,0
1726023931,54.71,4,299.7,9.7,3224,2067895,698.1,6,0.192697,0
1728881110,106.65,9,126.9,5.02,2061,1045339,1316.0,4,0.672414,0
1724689626,56.47,6,462.1,10.53,3023,1019236,6754.9,2,0.045191,0
1731201510,214.44,7,456.8,18.09,2173,2070356,2154.3,3,0.657462,0
1700590223,126.97,5,388.0,20.63,45,1017949,443.8,1,0.507885,0
1714141600,106.52,9,391.8,19.48,795,3679321,9037.7,3,0.462636,0
1722633307,16.07,7,279.7,4.18,579,2070571,338.5,14,0.563194,0
1703974054,15.35,5,480.1,3.18,1878,8291843,1454.1,8,0.202465,0
1728272529,14.64,7,182.5,25.08,294,8282625,1351.6,4,0.544765,0
1730923864,100.0,6,72.1,0.07,43,3683358,3293.1,26,0.886461,1
1727251597,317.33,5,355.6,25.23,300,2069481,7820.0,8,0.829837,0
1707725525,388.48,3,344.0,26.0,995,3689590,12502.1,6,0.844441,0
1700373409,24.16,4,199.4,24.92,3175,8283973,5077.2,14,0.035454,0
1714620215,131.59,3,246.0,25.06,1861,2074757,1717.3,14,0.198981,0
1720446673,76.65,9,343.1,5.44,2538,8287059,546.1,8,0.456231,0
1716095814,36.93,2,252.3,6.26,991,1019922,1842.8,1,0.427635,0
1715805847,25.6,8,345.0,1.32,2405,8297913,138.0,9,0.479962,0
1710877421,123.45,5,433.7,5.19,3509,2072854,4945.7,11,0.275191,0
1704254131,15.66,1,92.7,34.89,2254,3690402,1383.4,4,0.144702,0
1705518697,58.32,7,134.0,36.18,1337,1020931,2744.5,6,0.257776,0
1710468949,53.69,3,347.5,1.37,862,3690724,4733.8,13,0.206248,0
1725372894,63.37,7,222.6,10.01,1968,1045084,4573.8,13,0.333023,0
1713778415,110.07,5,284.7,1.08,3387,2070441,3847.2,2,0.383419,0
1721630022,42.29,7,243.3,5.86,418,3693118,5303.2,11,0.75007,0
1705125972,222.93,2,351.9,9.36,3410,1028289,1107.3,4,0.43824,0
1719195728,7.17,4,288.7,0.3,1584,1053008,5389.7,9,0.207528,0
1725006825,71.27,4,250.3,14.09,3134,3693664,530.7,4,0.201253,0
1720237541,364.09,20,65.0,0.46,141,8300845,4133.7,14,0.999419,1
1708423811,38.56,7,515.7,2.43,188,8296058,794.2,5,0.629209,0
1714857703,110.53,9,292.4,30.62,2446,2072344,1401.4,11,0.49532,0
1720454022,157.77,5,408.0,4.98,2379,3682800,3145.5,2,0.496354,0
1712730300,51.41,9,337.7,4.9,445,1043304,533.8,14,0.863108,1
1726392879,46.29,7,340.2,25.96,3210,2065663,854.2,11,0.094416,0
1731218463,106.99,1,283.4,43.75,2660,3681562,8099.3,5,0.05376,0
1718153583,28.24,9,392.9,7.83,1326,2063334,10101.5,11,0.686478,0
1723882729,209.58,17,94.1,3.81,14,1046712,6514.5,27,0.996473,1
1725211120,31.93,5,197.5,25.64,1791,1044820,3340.5,4,0.129209,0
1701797386,38.77,5,183.5,3.79,1586,8301756,5712.4,2,0.47466,0
1710662129,51.21,8,271.3,12.07,1873,1031665,560.7,7,0.35791,0
1703062499,97.58,4,327.5,13.25,1345,1041950,247.0,7,0.302049,0
1700539842,127.64,1,318.6,4.59,780,8298469,797.9,1,0.494361,0
1710322765,93.81,1,370.7,3.58,1827,3683747,1146.0,6,0.251268,0
1706668324,167.04,6,471.0,12.28,3291,3675895,864.6,12,0.427074,0
1700743641,59.4,1,364.1,12.0,1330,2079843,2283.0,4,0.242504,0
1702001502,81.8,1,287.1,8.73,2064,1055443,4735.7,3,0.175388,0
1726011427,53.12,9,412.0,3.38,618,1047935,7406.6,7,0.833045,0
1705929393,95.31,6,391.1,10.01,3491,8294709,175.1,12,0.25112,0
1712896470,83.9,9,252.0,4.13,646,1051353,154.9,10,0.773087,0
1723599253,172.6,3,10.0,55.22,530,8300469,1917.5,6,0.445544,0
1702059033,10.37,4,309.4,16.3,497,3678675,1814.3,4,0.346669,0
1710437598,66.12,4,148.5,12.32,1921,2071427,790.8,7,0.558015,0
1730445631,261.66,8,327.1,2.44,2977,8295522,6279.4,3,0.830664,0
1714271589,48.59,1,306.6,4.72,2959,1032285,3326.8,10,0.081548,0
1723804501,320.32,13,57.8,1.58,151,1024919,2650.6,24,0.994808,1
1722773649,147.02,3,290.3,6.3,3106,1026777,1143.9,4,0.398637,0
1704893150,87.18,3,242.4,24.76,1198,8294975,8503.4,14,0.231521,0
1716076006,696.93,15,41.9,0.56,168,1049207,676.4,18,0.99994,1
1722567958,38.46,4,223.2,49.08,278,1052900,97.9,5,0.29613,0
1707657503,102.61,6,349.7,35.44,1233,1029071,857.5,10,0.272975,0
1701517172,149.46,23,97.1,0.26,144,1051234,2035.8,24,0.994229,1
1710164033,458.67,13,71.2,0.01,73,1058916,5856.9,23,0.998697,1
1730920540,176.17,6,380.4,38.72,1006,1052143,5034.6,12,0.442879,0
1714486568,45.59,6,268.6,4.9,1187,8295973,4107.0,8,0.546582,0
1701208959,38.35,6,323.0,1.43,1494,1055837,10061.3,11,0.561924,0
1706406925,70.2,6,287.1,48.25,1592,1054276,7993.8,7,0.109693,0
1729689338,43.06,4,366.8,53.1,947,1024590,35.9,10,0.028005,0
1730647177,15.77,8,215.9,30.93,2692,1047279,3243.8,8,0.132159,0
1700353920,6.37,4,323.1,20.58,1718,1049044,2317.9,7,0.082198,0
1726918440,107.83,3,184.5,12.44,661,2073228,11506.2,1,0.580718,0
1707461323,10.39,4,170.6,22.92,431,8296135,2662.2,7,0.293725,0
1708827139,1.0,6,378.1,6.43,112,2072688,2257.2,3,0.626254,0
1721264349,341.25,6,465.5,4.59,849,2081639,3077.6,6,0.90327,1
1729791485,116.19,6,293.7,38.8,2172,8287026,3340.0,13,0.461521,0
1706053815,116.56,8,240.7,13.74,3335,3689494,1252.4,14,0.205806,0
1724627307,109.47,5,255.0,6.52,1746,2067439,1261.4,7,0.579058,0
1700479130,134.3,4,165.1,4.86,815,1028230,3236.5,8,0.725557,0
1714342598,572.87,17,51.8,0.25,147,8298478,2334.8,28,0.999906,1
1718669159,109.11,2,372.2,5.73,2736,8296055,1260.4,12,0.414234,0
1707545438,35.04,2,237.3,41.81,204,2068034,1930.2,3,0.080949,0
1704470316,205.52,11,51.0,5.46,125,8293764,4476.0,27,0.972958,1
1720137755,25.75,7,107.5,0.19,548,1058828,3697.1,14,0.634037,0
1718021648,116.55,3,234.6,13.51,814,1023558,6208.1,9,0.638287,0
1703635916,32.99,4,552.4,18.45,1123,3678602,2474.9,11,0.084619,0
1731380262,272.0,2,411.3,11.9,286,1018983,1896.6,6,0.76517,0
1724223873,54.98,8,435.9,2.41,2744,3683875,4992.0,11,0.138419,0
1725839300,24.6,7,208.4,0.15,2969,1044668,836.2,9,0.166524,0
1726566355,70.02,3,428.7,17.11,2996,2073128,10795.3,13,0.069072,0
1709057141,42.48,1,181.2,30.33,332,1048865,883.8,5,0.272734,0
1725570943,1.4,6,287.8,4.63,1395,3685121,2122.4,8,0.449536,0
1720217286,28.33,9,420.9,7.19,1376,2069533,482.3,2,0.431634,0
1709087758,169.81,1,203.2,3.14,3267,3689350,2177.5,10,0.333488,0
1702291702,21.32,6,498.2,2.97,2307,3687111,879.1,10,0.15397,0
1703591627,17.95,2,403.4,40.12,2485,8303110,1149.9,4,0.024498,0
1720502734,5.38,5,267.4,20.9,1085,2079518,644.7,6,0.245103,0
1700746521,63.13,3,465.7,5.72,3020,1028001,1041.6,14,0.058472,0
1720256218,184.49,5,270.0,10.77,787,1041552,2766.3,2,0.815973,0
1710074468,178.87,7,309.9,20.7,2187,2081508,1574.0,13,0.621225,0
1708476590,86.15,5,268.9,16.88,2200,1030278,1205.7,12,0.181306,0
1702960250,244.32,5,5.0,1.93,143,1022392,312.6,8,0.959728,1
1730521868,59.53,6,91.8,1.35,87,3695885,803.7,6,0.842745,0
1727011338,18.78,4,340.3,4.9,124,1033734,35.3,4,0.417643,0
1700218482,211.68,4,262.5,15.66,867,2068215,461.5,4,0.78685,0
1707859107,66.47,1,499.5,19.2,1720,3682518,3124.2,3,0.084309,0
1712576801,970.07,21,90.0,2.43,20,3679637,1788.4,14,1.0,1
1728201147,5.53,9,279.8,51.46,679,8291706,6018.9,13,0.125329,0
1711585462,244.22,5,431.7,22.61,3397,2081205,3449.3,3,0.426131,0
1724555943,80.48,9,407.6,2.28,324,1017900,3790.3,1,0.774804,0
1700826999,43.77,3,440.0,23.28,632,8292544,2153.3,7,0.350984,0
1710333898,79.43,1,188.8,40.9,3108,3689450,2202.1,12,0.010271,0
1706305489,28.71,5,525.1,11.16,454,3691962,2208.9,14,0.333037,0
1731044442,221.21,1,425.2,36.36,316,1015379,3569.5,13,0.24539,0
1708352258,61.4,9,372.8,6.51,834,2076290,4350.8,7,0.469401,0
1719576634,101.44,5,157.6,25.95,2923,1017534,1259.5,4,0.253622,0
1719618777,95.98,3,312.2,2.51,182,8299014,450.0,6,0.772267,0
1701859278,48.92,4,499.6,4.77,728,1044477,8674.4,12,0.289095,0
1722685638,86.43,3,102.2,1.58,932,1041096,9387.7,11,0.70468,0
1712541567,100.0,7,16.8,1.86,136,1049376,3093.9,29,0.861432,1
1723252511,200.32,3,566.2,7.23,2822,3680205,1318.8,6,0.236824,0
1709543837,24.17,3,179.8,39.46,219,8290243,3642.7,6,0.318594,0
1717137176,50.96,4,207.3,5.48,891,1026205,1665.8,10,0.365532,0
1703035527,53.48,7,337.0,19.76,2782,1049449,2372.1,1,0.162377,0
1719393942,108.09,1,270.3,13.92,2604,2072464,777.6,6,0.349642,0
1707117263,45.59,2,144.1,2.43,864,3680822,1505.7,7,0.543123,0
1713894260,13.49,7,370.0,0.83,3600,2066936,3832.7,14,0.06033,0
1703636807,165.77,8,318.7,31.43,378,2071537,2559.3,3,0.802737,0
1725056331,177.06,7,332.3,4.69,2970,1050297,5372.0,4,0.568719,0
1719061453,59.56,5,194.4,5.08,3569,3678408,850.3,3,0.231635,0
1729192571,53.45,7,363.5,54.38,1012,1027493,831.9,3,0.072665,0
1707081404,53.16,8,190.3,7.66,2147,8285200,5474.2,2,0.769271,0
1704889639,229.46,19,5.0,4.14,19,1039611,1306.6,10,0.998649,1
1728715292,1.0,9,357.5,31.49,2645,2079156,1472.0,6,0.085199,0
1706216371,2.76,9,263.2,6.2,1754,8305972,5676.2,1,0.419849,0
1711711396,78.5,9,314.0,44.93,1792,3682391,3768.0,14,0.435112,0
1729610865,13.38,7,289.3,7.8,1394,2072855,1855.3,1,0.481412,0
1707777679,217.64,7,28.1,1.3,129,2074329,1689.9,25,0.947966,1
1729572031,2.65,5,252.6,40.77,3234,8281156,6006.3,5,0.05567,0
1716795318,6.68,7,312.0,4.84,2206,8289925,3438.5,4,0.343901,0
1713065864,139.79,4,328.5,10.27,1290,2082907,3117.5,13,0.67124,0
1729408005,477.68,7,181.6,38.31,899,8297007,5926.1,8,0.738991,0
1730966279,173.63,8,437.1,39.5,37,1039649,1895.1,2,0.603084,0
1720529325,123.81,3,303.2,1.75,3193,3681846,3901.8,12,0.081891,0
1722310648,62.98,6,402.2,7.03,2736,1025687,710.5,9,0.343279,0
1727558253,18.32,9,141.3,22.22,2936,2071499,1372.0,12,0.232964,0
1723310260,100.0,12,129.8,0.26,44,3683318,1157.3,24,0.924343,1
1728576317,17.39,4,340.0,0.83,2910,1014067,4702.6,4,0.185042,0
1714891933,43.75,5,303.5,28.85,2935,1020649,223.4,11,0.063949,0
1713431935,103.39,4,256.8,35.19,1887,2071560,5056.3,4,0.276322,0
1704088781,64.25,6,286.0,30.07,837,8295597,2737.8,7,0.356125,0
1712881963,37.45,4,359.9,11.97,681,1025721,4072.9,7,0.216476,0
1710220166,20.22,5,550.3,6.72,2521,3677320,1323.7,10,0.102453,0
1720017927,152.63,4,5.0,0.75,84,1020840,2565.8,11,0.93131,1
1706381133,160.94,3,357.5,0.62,1972,1018891,6990.6,12,0.572156,0
1703591026,225.85,5,412.8,4.02,810,8299290,1196.3,7,0.790022,0
1715930110,300.8,1,286.8,12.71,1637,3684113,6226.6,13,0.702662,0
1729903932,138.66,1,158.8,11.3,2322,1051494,921.5,4,0.205268,0
1711024836,168.08,8,225.9,4.86,2641,2083483,1678.6,13,0.641056,0
1721710125,47.81,3,406.4,19.31,3633,8287702,614.8,4,0.028265,0
1700468829,104.79,14,65.5,2.16,117,8297094,4880.2,29,0.947329,1
1704844453,28.98,9,235.8,25.88,992,3691604,3590.1,2,0.272095,0
1708726681,27.38,2,364.1,17.62,675,2072664,1491.3,7,0.091491,0
1721667844,354.72,6,65.2,1.32,87,2072119,1923.7,9,0.979933,1
1700815030,115.02,5,265.3,9.62,1987,2069432,221.6,5,0.630866,0
1700619519,60.24,2,306.7,3.71,996,1023486,285.6,8,0.507009,0
1719192430,24.36,5,490.1,9.23,1967,2080932,5523.5,6,0.110376,0
1718769696,34.1,4,258.5,54.1,439,3684473,15404.5,11,0.151813,0
1712766617,196.84,4,296.9,4.98,2798,3681585,155.6,10,0.546616,0
1719185698,7.23,2,275.1,33.29,2815,2072524,3183.1,4,0.017357,0
1721132544,76.05,3,477.6,2.43,3202,1043334,3916.0,8,0.234831,0
1717472503,64.51,3,178.3,1.11,255,3694870,6578.2,6,0.602328,0
1707724477,53.87,4,263.3,0.97,115,8299872,3674.5,2,0.550653,0
1729743051,78.31,1,425.9,1.83,111,8303532,993.6,4,0.399466,0
1712851862,58.88,1,299.3,12.22,111,1025283,5660.2,4,0.395835,0
1717106496,162.06,9,165.8,8.21,3211,1048839,685.6,6,0.547464,0
1725310670,143.96,1,349.5,17.31,3153,2068502,3744.4,1,0.323042,0
1724741683,322.22,7,510.3,1.04,3490,3686624,2587.8,11,0.844003,0
1731157495,908.05,21,52.7,4.9,107,3690382,937.1,10,1.0,1
1723196417,43.7,4,346.7,6.51,2463,1051473,6963.9,6,0.118598,0
1708207895,18.78,9,299.1,4.28,435,3690920,1690.8,11,0.80186,0
1714901929,72.62,8,352.3,10.94,1773,3688553,8656.2,6,0.73783,0
1716992808,71.87,3,346.4,18.02,563,1017976,2136.8,5,0.306071,0
1723939329,1.46,4,349.9,11.43,3069,1023272,7559.8,5,0.06877,0
1718302344,35.66,2,514.4,4.43,2397,8293438,12031.5,3,0.116455,0
1724365530,45.96,2,468.2,8.78,38,1049786,3739.2,13,0.273572,0
1710449567,40.45,1,161.0,25.06,2555,8294251,680.7,6,0.095913,0
1723105881,15.97,7,394.9,8.36,915,1022222,571.3,12,0.329236,0
1724634784,52.07,3,499.5,15.8,3225,1030049,1525.0,1,0.015266,0
1704943406,33.88,2,275.7,1.63,2841,1047293,2553.2,12,0.063396,0
1713132005,77.27,7,81.7,9.66,2493,8292496,803.9,13,0.769437,0
1722485697,74.4,9,262.1,10.45,1386,3680638,4931.3,9,0.528958,0
1724307162,148.45,2,398.4,7.74,1535,2068571,2248.1,9,0.421565,0
1712263276,58.95,5,116.0,2.15,419,1058292,3928.1,14,0.759806,0
1729010814,280.19,6,10.0,3.98,1841,3687806,6933.1,14,0.873684,1
1706360115,42.6,2,270.7,7.5,253,1012919,384.8,10,0.393529,0
1712205158,48.95,6,201.8,12.12,1827,1017979,53.2,14,0.224004,0
1723749675,121.44,2,204.3,7.76,2505,8284074,464.9,10,0.218831,0
1728056504,6.37,6,540.0,16.78,2112,8288892,17300.8,7,0.058546,0
1719584275,49.52,8,384.9,11.89,1834,8298960,2706.6,13,0.475458,0
1731255964,95.77,4,289.6,1.21,1709,8286032,2618.6,12,0.460873,0
1700043462,113.4,2,193.5,9.26,1463,2081707,10383.7,13,0.42963,0
1708384160,173.92,4,332.6,10.31,3109,2076595,7274.2,7,0.227303,0
1730876300,55.69,1,538.0,13.32,149,8305937,1220.2,3,0.081302,0
1713142165,58.17,2,271.8,33.66,3452,8296755,140.8,12,0.067058,0
1712234658,500.0,5,322.6,1.07,3400,2070270,2573.9,10,0.720217,0
1705752006,294.16,3,230.9,30.12,3310,2067550,6724.9,12,0.361079,0
1719760483,69.47,9,497.5,0.45,2111,2071248,486.8,12,0.416057,0
1703770604,3.65,1,294.6,10.96,1394,8295805,5386.0,7,0.138098,0
1708604633,19.4,1,218.2,17.03,3644,1024291,9431.5,3,0.061477,0
1701117593,198.68,2,489.9,25.11,1471,1045245,1842.0,9,0.239708,0
1705352331,24.98,7,413.9,24.01,3535,3695281,4758.8,4,0.107286,0
1713237807,46.65,9,127.5,0.04,1121,1023924,3220.1,13,0.800145,0
1704193762,56.36,3,598.9,3.6,2548,1024170,1494.5,11,0.052408,0
1708252177,165.02,3,339.6,11.1,3356,1052479,1272.6,14,0.193961,0
1726014073,134.28,8,257.1,15.8,959,1052326,1901.0,2,0.781376,0
1714305389,68.38,5,631.8,7.83,1166,2065263,6209.3,8,0.15593,0
1700753650,45.89,2,449.8,5.17,2238,1027383,2189.1,12,0.119526,0
1711490582,60.03,9,230.8,33.03,1252,1021423,4325.2,6,0.373009,0
1728601905,48.89,5,182.5,5.29,2204,1023434,516.1,9,0.265576,0
1730306511,67.37,7,452.0,2.76,787,3688378,2535.5,9,0.811216,0
1721944760,110.87,2,213.2,4.47,467,1045573,5911.5,2,0.765161,0
1722522158,18.92,4,292.1,8.32,3358,8296309,2739.0,3,0.185085,0
1708246111,144.73,8,238.8,10.11,738,3676217,136.8,1,0.827397,0
1724771124,56.57,2,181.5,32.59,559,1019954,1217.0,3,0.299901,0
1721088575,13.86,4,146.8,4.19,303,3692329,6421.4,3,0.486433,0
1703041691,51.05,5,472.6,35.63,3051,1016997,12102.4,11,0.067713,0
1704762365,477.66,6,5.0,2.96,38,1053260,1479.3,12,0.998226,1
1714615137,169.01,14,47.2,4.73,71,2077254,743.1,12,0.992501,1
1720094594,89.07,4,337.5,12.04,643,2075770,8057.4,6,0.546532,0
1709482581,144.46,5,373.2,8.65,2785,2077879,5205.2,6,0.600062,0
1719654459,181.9,2,401.8,8.99,2341,1046264,2991.8,8,0.489464,0
1710008163,25.3,7,103.3,32.32,2281,1057522,6146.5,14,0.111464,0
1710907717,37.66,3,263.7,26.68,1426,3690849,1649.1,4,0.210602,0
1708409003,189.31,9,309.3,8.86,544,8294459,1328.6,14,0.719395,0
1719873163,10.94,4,345.5,4.29,1634,3692488,1113.0,11,0.237934,0
1722486581,173.68,1,294.3,21.54,414,1027133,710.9,10,0.422187,0
1713162727,104.21,8,63.9,61.58,3475,3683487,2691.3,5,0.112071,0
1707643677,2.97,3,393.0,27.79,396,3695334,2922.1,5,0.13387,0
1723939172,287.49,1,309.6,19.43,1560,2065308,5727.7,10,0.571282,0
1716241153,111.27,9,170.4,17.67,2503,1023495,2786.1,4,0.687174,0
1710054138,17.36,1,146.2,1.35,1816,8295957,4250.2,7,0.277725,0
1720902840,1.57,8,163.7,0.43,1625,2082161,492.4,10,0.571932,0
1726183982,50.42,9,159.3,0.05,2756,3693165,5075.5,12,0.460973,0
1730306774,57.13,5,370.6,9.43,238,1050725,731.4,7,0.578946,0
1728817023,118.8,8,144.7,36.97,836,8295658,7234.7,10,0.590511,0
1710175507,83.51,1,282.8,12.19,743,3687025,9093.2,8,0.438762,0
1719717981,7.26,3,208.3,7.01,88,8287781,3209.3,6,0.279364,0
1700676027,47.33,6,327.7,14.18,2935,8291787,4619.4,12,0.172864,0
1713584663,54.08,2,452.1,31.66,2854,1021959,1299.6,5,0.045359,0
1711664824,243.61,9,10.0,9.17,1313,3682899,271.7,10,0.845219,0
1716410236,62.86,2,247.9,11.72,3247,1023454,6573.0,1,0.113316,0
1721073425,146.89,19,48.7,0.38,150,8290487,7295.1,13,0.996941,1
1704361583,31.61,3,392.1,4.62,3532,3689752,192.1,11,0.028708,0
1708044827,25.2,6,253.8,1.99,1098,1049268,9374.0,3,0.682273,0
1717736601,35.89,8,425.4,13.89,1906,2072643,2686.9,6,0.48219,0
1725276433,117.55,4,482.8,9.03,3527,8297916,887.9,3,0.174421,0
1705042705,243.56,6,342.3,2.56,1279,1051464,1478.5,1,0.828865,0
1701690820,89.64,8,503.5,49.73,2958,1040024,949.4,6,0.078416,0
1729347632,129.91,5,108.1,8.4,728,1051798,2877.4,9,0.757694,0
1708447564,56.63,7,289.1,3.87,3132,8295473,747.0,11,0.311277,0
1704200418,9.96,2,339.0,39.86,787,1043714,2756.1,8,0.062074,0
1718452710,60.68,9,363.3,5.81,3571,3685842,10313.5,6,0.074255,0
1714888045,2.69,3,345.4,8.27,493,8286207,3093.1,14,0.177262,0
1701996435,106.05,7,381.1,24.97,3098,8295583,2578.6,13,0.137146,0
1726731829,122.9,1,116.6,1.71,1479,3679156,722.9,8,0.734843,0
1718572007,39.5,1,215.8,8.28,3397,1051318,2693.2,3,0.098475,0
1706509938,39.02,4,276.9,6.7,699,2069962,14205.6,8,0.566829,0
1716436771,125.56,9,552.0,3.29,3376,1033861,755.6,4,0.318587,0
1707215030,78.78,2,423.0,4.31,1688,8289028,8784.2,3,0.253446,0
1730883637,152.4,8,417.3,4.39,1801,1054327,994.1,2,0.739291,0
1730105540,301.94,11,73.3,0.94,76,2077754,11852.8,14,0.996147,1
1713705460,123.48,4,410.4,3.16,1769,3691122,4175.3,4,0.430013,0
1710157527,231.04,7,164.0,0.56,966,8284043,4383.2,11,0.83141,0
1700622664,114.53,1,324.7,8.76,488,1050808,4830.8,5,0.660052,0
1723524353,46.61,2,368.4,12.94,458,3685614,2522.1,10,0.252565,0
1716872826,28.04,6,310.8,42.34,1907,8293223,7642.6,1,0.120449,0
1705110971,228.87,4,583.0,4.01,1270,2078640,3494.6,14,0.486022,0
1711250479,10.44,3,227.2,46.38,787,2068851,4813.9,3,0.031943,0
1727802807,237.52,6,486.3,9.25,495,1017958,193.7,6,0.794181,0
1701739623,592.08,21,5.4,3.03,171,8296465,2904.3,11,0.999991,1
1710193918,73.96,2,401.0,2.84,3453,3688408,2313.6,4,0.079871,0
1721373974,88.57,4,229.0,8.43,1206,2074419,1029.2,9,0.41264,0
1724975305,46.9,4,386.3,12.83,2538,2076934,9369.9,8,0.175726,0
1724653984,139.09,1,239.7,1.62,3548,1044397,4663.1,12,0.104666,0
1730481029,12.15,8,360.9,52.42,3422,1051382,298.3,5,0.042834,0
1717513841,7.51,5,202.6,12.67,996,8291961,3914.4,2,0.481946,0
1730882060,77.76,2,220.5,1.06,2984,8290340,11836.0,4,0.113745,0
1710397135,65.38,1,536.6,6.86,2769,1027159,3311.9,2,0.029499,0
1702482203,165.27,1,513.5,17.91,3192,1032520,404.9,1,0.476179,0
1700280212,58.16,8,361.5,4.42,925,1050353,6689.3,6,0.887936,1
